Date,Country ,Technology,SiteName,Volume,country,date,updatedby,updatetime
01/01/2024,FR,Gas,Blenod-5,6753.0,France,2024-01-01,petroineos,2025-05-29 10:38:42.401709
02/01/2024,FR,Gas,Blenod-5,3896.0,France,2024-01-02,petroineos,2025-05-29 10:38:42.401709
03/01/2024,FR,Gas,Blenod-5,3636.0,France,2024-01-03,petroineos,2025-05-29 10:38:42.401709
04/01/2024,FR,Gas,Blenod-5,5138.0,France,2024-01-04,petroineos,2025-05-29 10:38:42.401709
05/01/2024,FR,Gas,Blenod-5,5265.0,France,2024-01-05,petroineos,2025-05-29 10:38:42.401709
06/01/2024,FR,Gas,Blenod-5,5052.0,France,2024-01-06,petroineos,2025-05-29 10:38:42.401709
07/01/2024,FR,Gas,Blenod-5,6136.0,France,2024-01-07,petroineos,2025-05-29 10:38:42.401709
08/01/2024,FR,Gas,Blenod-5,5554.0,France,2024-01-08,petroineos,2025-05-29 10:38:42.401709
09/01/2024,FR,Gas,Blenod-5,3533.0,France,2024-01-09,petroineos,2025-05-29 10:38:42.401709
10/01/2024,FR,Gas,Blenod-5,5835.0,France,2024-01-10,petroineos,2025-05-29 10:38:42.401709
11/01/2024,FR,Gas,Blenod-5,4914.0,France,2024-01-11,petroineos,2025-05-29 10:38:42.401709
12/01/2024,FR,Gas,Blenod-5,6393.0,France,2024-01-12,petroineos,2025-05-29 10:38:42.401709
13/01/2024,FR,Gas,Blenod-5,6360.0,France,2024-01-13,petroineos,2025-05-29 10:38:42.401709
14/01/2024,FR,Gas,Blenod-5,5534.0,France,2024-01-14,petroineos,2025-05-29 10:38:42.401709
15/01/2024,FR,Gas,Blenod-5,4809.0,France,2024-01-15,petroineos,2025-05-29 10:38:42.401709
16/01/2024,FR,Gas,Blenod-5,6890.0,France,2024-01-16,petroineos,2025-05-29 10:38:42.401709
17/01/2024,FR,Gas,Blenod-5,4912.0,France,2024-01-17,petroineos,2025-05-29 10:38:42.401709
18/01/2024,FR,Gas,Blenod-5,3295.0,France,2024-01-18,petroineos,2025-05-29 10:38:42.401709
19/01/2024,FR,Gas,Blenod-5,4808.0,France,2024-01-19,petroineos,2025-05-29 10:38:42.401709
20/01/2024,FR,Gas,Blenod-5,5244.0,France,2024-01-20,petroineos,2025-05-29 10:38:42.401709
21/01/2024,FR,Gas,Blenod-5,5270.0,France,2024-01-21,petroineos,2025-05-29 10:38:42.401709
