Date,Country ,Technology,SiteName,Volume
01/01/2024,FR,Gas,Blenod-5,6753
02/01/2024,FR,Gas,Blenod-5,3896
03/01/2024,FR,Gas,Blenod-5,3636
04/01/2024,FR,Gas,Blenod-5,5138
05/01/2024,FR,Gas,Blenod-5,5265
06/01/2024,FR,Gas,Blenod-5,5052
07/01/2024,FR,Gas,Blenod-5,6136
08/01/2024,FR,Gas,Blenod-5,5554
09/01/2024,FR,Gas,Blenod-5,3533
10/01/2024,FR,Gas,Blenod-5,5835
11/01/2024,FR,Gas,Blenod-5,4914
12/01/2024,FR,Gas,Blenod-5,6393
13/01/2024,FR,Gas,Blenod-5,6360
14/01/2024,FR,Gas,Blenod-5,5534
15/01/2024,FR,Gas,Blenod-5,4809
16/01/2024,FR,Gas,Blenod-5,6890
17/01/2024,FR,Gas,Blenod-5,4912
18/01/2024,FR,Gas,Blenod-5,3295
19/01/2024,FR,Gas,Blenod-5,4808
20/01/2024,FR,Gas,Blenod-5,5244
21/01/2024,FR,Gas,Blenod-5,5270
22/01/2024,FR,Gas,Blenod-5,4784
23/01/2024,FR,Gas,Blenod-5,6627
24/01/2024,FR,Gas,Blenod-5,4324
25/01/2024,FR,Gas,Blenod-5,4405
26/01/2024,FR,Gas,Blenod-5,5643
27/01/2024,FR,Gas,Blenod-5,4705
28/01/2024,FR,Gas,Blenod-5,5810
29/01/2024,FR,Gas,Blenod-5,6190
30/01/2024,FR,Gas,Blenod-5,6101
31/01/2024,FR,Gas,Blenod-5,3347
01/02/2024,FR,Gas,Blenod-5,3648
02/02/2024,FR,Gas,Blenod-5,6059
03/02/2024,FR,Gas,Blenod-5,4576
04/02/2024,FR,Gas,Blenod-5,4906
05/02/2024,FR,Gas,Blenod-5,3632
06/02/2024,FR,Gas,Blenod-5,4285
07/02/2024,FR,Gas,Blenod-5,3934
08/02/2024,FR,Gas,Blenod-5,6413
09/02/2024,FR,Gas,Blenod-5,6350
10/02/2024,FR,Gas,Blenod-5,3818
11/02/2024,FR,Gas,Blenod-5,6417
12/02/2024,FR,Gas,Blenod-5,6895
13/02/2024,FR,Gas,Blenod-5,4590
14/02/2024,FR,Gas,Blenod-5,3720
15/02/2024,FR,Gas,Blenod-5,4506
16/02/2024,FR,Gas,Blenod-5,5881
17/02/2024,FR,Gas,Blenod-5,5635
18/02/2024,FR,Gas,Blenod-5,4108
19/02/2024,FR,Gas,Blenod-5,3851
20/02/2024,FR,Gas,Blenod-5,6155
21/02/2024,FR,Gas,Blenod-5,5208
22/02/2024,FR,Gas,Blenod-5,3489
23/02/2024,FR,Gas,Blenod-5,4284
24/02/2024,FR,Gas,Blenod-5,5529
25/02/2024,FR,Gas,Blenod-5,6495
26/02/2024,FR,Gas,Blenod-5,3556
27/02/2024,FR,Gas,Blenod-5,5703
28/02/2024,FR,Gas,Blenod-5,3866
29/02/2024,FR,Gas,Blenod-5,4298
01/03/2024,FR,Gas,Blenod-5,5206
02/03/2024,FR,Gas,Blenod-5,3541
03/03/2024,FR,Gas,Blenod-5,5206
04/03/2024,FR,Gas,Blenod-5,4498
05/03/2024,FR,Gas,Blenod-5,6179
06/03/2024,FR,Gas,Blenod-5,4342
07/03/2024,FR,Gas,Blenod-5,5712
