Date,Country ,Technology,SiteName,Volume
01/01/2024,GB,Gas,Pembroke-1,6570
02/01/2024,GB,Gas,Pembroke-1,8068
03/01/2024,GB,Gas,Pembroke-1,7225
04/01/2024,GB,Gas,Pembroke-1,5390
05/01/2024,GB,Gas,Pembroke-1,6720
06/01/2024,GB,Gas,Pembroke-1,7354
07/01/2024,GB,Gas,Pembroke-1,6613
08/01/2024,GB,Gas,Pembroke-1,8739
09/01/2024,GB,Gas,Pembroke-1,7078
10/01/2024,GB,Gas,Pembroke-1,6384
11/01/2024,GB,Gas,Pembroke-1,7589
12/01/2024,GB,Gas,Pembroke-1,5647
13/01/2024,GB,Gas,Pembroke-1,7192
14/01/2024,GB,Gas,Pembroke-1,6325
15/01/2024,GB,Gas,Pembroke-1,8609
16/01/2024,GB,Gas,Pembroke-1,5487
17/01/2024,GB,Gas,Pembroke-1,6444
18/01/2024,GB,Gas,Pembroke-1,6492
19/01/2024,GB,Gas,Pembroke-1,7944
20/01/2024,GB,Gas,Pembroke-1,7380
21/01/2024,GB,Gas,Pembroke-1,8905
22/01/2024,GB,Gas,Pembroke-1,7085
23/01/2024,GB,Gas,Pembroke-1,6458
24/01/2024,GB,Gas,Pembroke-1,6741
25/01/2024,GB,Gas,Pembroke-1,7837
26/01/2024,GB,Gas,Pembroke-1,7634
27/01/2024,GB,Gas,Pembroke-1,6196
28/01/2024,GB,Gas,Pembroke-1,7953
29/01/2024,GB,Gas,Pembroke-1,7546
30/01/2024,GB,Gas,Pembroke-1,6526
31/01/2024,GB,Gas,Pembroke-1,7749
01/02/2024,GB,Gas,Pembroke-1,8970
02/02/2024,GB,Gas,Pembroke-1,7160
03/02/2024,GB,Gas,Pembroke-1,7408
04/02/2024,GB,Gas,Pembroke-1,5288
05/02/2024,GB,Gas,Pembroke-1,5678
06/02/2024,GB,Gas,Pembroke-1,8720
07/02/2024,GB,Gas,Pembroke-1,5450
08/02/2024,GB,Gas,Pembroke-1,6566
09/02/2024,GB,Gas,Pembroke-1,8809
10/02/2024,GB,Gas,Pembroke-1,5222
11/02/2024,GB,Gas,Pembroke-1,6061
12/02/2024,GB,Gas,Pembroke-1,6313
13/02/2024,GB,Gas,Pembroke-1,5496
14/02/2024,GB,Gas,Pembroke-1,7916
15/02/2024,GB,Gas,Pembroke-1,8684
16/02/2024,GB,Gas,Pembroke-1,6598
17/02/2024,GB,Gas,Pembroke-1,6349
18/02/2024,GB,Gas,Pembroke-1,6017
19/02/2024,GB,Gas,Pembroke-1,7364
20/02/2024,GB,Gas,Pembroke-1,7785
21/02/2024,GB,Gas,Pembroke-1,7604
22/02/2024,GB,Gas,Pembroke-1,7541
23/02/2024,GB,Gas,Pembroke-1,6480
24/02/2024,GB,Gas,Pembroke-1,5901
25/02/2024,GB,Gas,Pembroke-1,6513
26/02/2024,GB,Gas,Pembroke-1,6131
27/02/2024,GB,Gas,Pembroke-1,5378
28/02/2024,GB,Gas,Pembroke-1,6386
29/02/2024,GB,Gas,Pembroke-1,5632
01/03/2024,GB,Gas,Pembroke-1,5594
02/03/2024,GB,Gas,Pembroke-1,8225
03/03/2024,GB,Gas,Pembroke-1,6186
04/03/2024,GB,Gas,Pembroke-1,7732
05/03/2024,GB,Gas,Pembroke-1,6960
06/03/2024,GB,Gas,Pembroke-1,7172
07/03/2024,GB,Gas,Pembroke-1,8431
08/03/2024,GB,Gas,Pembroke-1,7644
09/03/2024,GB,Gas,Pembroke-1,6848
10/03/2024,GB,Gas,Pembroke-1,8616
11/03/2024,GB,Gas,Pembroke-1,8010
12/03/2024,GB,Gas,Pembroke-1,8283
13/03/2024,GB,Gas,Pembroke-1,5484
14/03/2024,GB,Gas,Pembroke-1,8963
15/03/2024,GB,Gas,Pembroke-1,7435
16/03/2024,GB,Gas,Pembroke-1,5991
17/03/2024,GB,Gas,Pembroke-1,7505
18/03/2024,GB,Gas,Pembroke-1,5400
19/03/2024,GB,Gas,Pembroke-1,8635
20/03/2024,GB,Gas,Pembroke-1,5196
21/03/2024,GB,Gas,Pembroke-1,7012
22/03/2024,GB,Gas,Pembroke-1,7770
23/03/2024,GB,Gas,Pembroke-1,7913
24/03/2024,GB,Gas,Pembroke-1,8774
25/03/2024,GB,Gas,Pembroke-1,8877
26/03/2024,GB,Gas,Pembroke-1,8091
27/03/2024,GB,Gas,Pembroke-1,8867
28/03/2024,GB,Gas,Pembroke-1,7766
29/03/2024,GB,Gas,Pembroke-1,7477
30/03/2024,GB,Gas,Pembroke-1,7948
31/03/2024,GB,Gas,Pembroke-1,7674
01/04/2024,GB,Gas,Pembroke-1,6518
02/04/2024,GB,Gas,Pembroke-1,8438
03/04/2024,GB,Gas,Pembroke-1,5834
04/04/2024,GB,Gas,Pembroke-1,8941
05/04/2024,GB,Gas,Pembroke-1,5251
06/04/2024,GB,Gas,Pembroke-1,5569
07/04/2024,GB,Gas,Pembroke-1,6306
08/04/2024,GB,Gas,Pembroke-1,7823
09/04/2024,GB,Gas,Pembroke-1,8087
10/04/2024,GB,Gas,Pembroke-1,7432
11/04/2024,GB,Gas,Pembroke-1,8007
12/04/2024,GB,Gas,Pembroke-1,6593
